game_id,win_char1,win_weapon1,win_lv1,win_leg1,win_tran1,win_char2,win_weapon2,win_lv2,win_leg2,win_tran2,win_char3,win_weapon3,win_lv3,win_leg3,win_tran3,lose_char1,lose_weapon1,lose_lv1,lose_leg1,lose_tran1,lose_char2,lose_weapon2,lose_lv2,lose_leg2,lose_tran2,lose_char3,lose_weapon3,lose_lv3,lose_leg3,lose_tran3
64628333,30,13,19,5,0,31,7,20,3,2,26,9,20,3,2,40,6,20,4,1,7,1,19,5,0,77,24,19,5,0
64583157,25,11,20,4,1,11,16,20,4,1,1,15,20,2,3,24,3,20,4,1,86,1,20,3,2,88,3,20,4,1
64581563,49,19,20,5,0,11,16,19,5,0,6,8,20,4,1,90,11,19,4,1,43,5,19,2,3,26,9,19,4,1
64580446,70,6,20,5,0,10,20,19,4,1,74,3,19,5,0,35,1,20,3,2,1,18,20,5,0,32,5,20,4,1
64578245,78,16,20,5,0,86,1,20,3,2,80,19,19,4,1,86,1,20,3,2,50,21,19,5,0,34,23,20,5,0
64637692,88,3,19,3,2,78,16,19,3,2,2,10,18,4,1,37,15,19,5,0,10,1,17,3,0,55,14,17,2,0
64404618,78,16,19,4,0,18,15,20,5,0,90,11,20,4,1,74,3,19,2,3,78,16,20,4,1,25,11,19,4,1
64403716,90,11,19,4,1,82,21,20,5,0,29,1,19,5,0,11,16,20,5,0,84,18,19,4,1,18,15,19,4,1
64339618,88,3,18,4,1,24,3,19,3,2,72,11,19,3,2,89,9,19,4,1,90,11,19,4,0,74,3,19,5,0
64339247,56,20,20,4,1,90,11,20,3,2,77,24,20,5,0,37,15,16,2,0,90,11,15,2,0,85,13,19,2,0
64338828,90,11,20,5,0,76,3,19,3,0,24,3,20,3,2,4,13,19,4,0,72,11,20,4,1,90,11,20,3,2
64328227,18,15,19,5,0,81,9,19,4,1,88,3,18,5,0,2,9,19,4,1,14,21,19,4,1,84,18,19,5,0
64280618,90,11,20,3,2,28,3,19,3,2,29,1,20,3,2,31,7,19,4,1,4,13,19,5,0,2,11,20,4,1
64279403,90,11,20,3,2,53,14,19,4,1,64,24,20,4,1,54,8,20,2,3,2,9,20,3,2,76,3,19,5,0
64721126,74,3,19,4,1,71,14,19,4,1,89,9,19,3,2,22,3,18,3,1,80,19,19,4,1,62,11,20,4,1
64719263,11,18,20,4,1,65,16,20,5,0,46,16,20,5,0,17,5,20,4,1,21,9,20,5,0,2,11,20,5,0
64717309,50,21,20,4,1,1,18,20,3,2,78,16,19,4,1,70,6,20,5,0,1,15,20,5,0,55,14,20,5,0
64715491,38,9,20,4,1,84,18,20,4,1,73,24,19,5,0,32,5,20,5,0,22,3,19,5,0,77,24,20,4,1
64714736,47,4,20,4,1,90,11,20,3,2,64,24,19,5,0,72,11,20,3,2,82,21,19,5,0,76,3,20,5,0
64711349,64,24,20,5,0,70,6,20,4,1,4,13,20,2,3,47,4,19,4,0,1,15,20,4,1,34,23,20,5,0
64709799,87,24,20,3,2,33,1,19,4,1,38,9,20,4,1,37,15,20,4,1,74,3,20,4,1,36,5,20,3,2
64707322,74,3,20,4,1,38,9,20,3,2,64,24,19,3,2,66,24,19,4,1,88,3,18,4,1,71,14,19,4,1
64706597,75,22,20,5,0,1,15,19,4,1,65,16,20,5,0,74,3,19,5,0,1,15,20,4,1,17,5,19,4,1
64605122,44,25,19,5,0,90,11,20,4,1,66,24,19,4,0,53,14,19,5,0,26,9,20,4,1,90,11,20,3,2
64603782,58,10,20,5,0,28,3,20,4,1,39,18,20,3,2,82,21,20,4,1,42,24,20,4,1,32,5,20,3,2
64515291,61,5,19,4,1,75,22,20,4,1,90,11,20,4,1,85,13,19,5,0,37,15,20,3,2,17,5,20,4,1
64514331,22,3,19,3,2,69,9,19,5,0,72,11,20,4,1,3,16,19,3,1,89,9,19,3,1,46,16,19,4,0
64511965,1,15,20,4,1,90,11,19,5,0,71,14,20,3,2,45,4,19,5,0,37,15,19,5,0,17,5,18,4,1
